manager_name,cik,accession_number,report_period,portfolio_value,position_count,mapping_coverage,price_history_coverage,volatility,mdd,beta,sector_hhi,unknown_sector_weight,n_sectors
"Vantage Investment Partners, LLC",0001534561,0001534561-26-000003,31-MAR-2026,1381303678,59,0.9530140651620325,0.9616121140886443,0.1818425147681117,0.11068600538232787,0.9167840661417316,0.15972148124693958,0.0006707946418007942,13
Hardy Reed LLC,0001761871,0001765380-26-000128,31-MAR-2026,1360224934,224,0.9922805533433872,0.9753982762971466,0.16359233957076177,0.11156083533511973,0.8456129681900766,0.5541158099558618,0.00513124497377469,13
Parkside Financial Bank & Trust,0001455267,0001398344-26-009088,31-MAR-2026,1242825450,2429,0.9548643959325881,0.9720847348274048,0.18099522162886283,0.12519280668158395,0.9190795904287936,0.2401555845128552,0.0125625804316319,13
Spartan Wealth Advisory Services LLC,0002075193,0001765380-26-000177,31-MAR-2026,1127715468,291,0.9852357893935396,0.9528590389078533,0.2134983629939204,0.1278224112560541,1.0526315252121592,0.22439864116352484,0.006178732534599566,13
Certified Advisory Corp,0001731732,0001731732-26-000002,31-MAR-2026,1114132971,309,0.9992113217450199,0.9849512298474111,0.13812107110047261,0.10001744362982168,0.7122630150873236,0.7196212798351601,0.0024211233539958897,13
"Abacus Wealth Partners, LLC",0001978011,0001765380-26-000123,31-MAR-2026,1074620676,463,0.9811171137485651,0.9311034752508335,0.15121834931830902,0.11254548712372237,0.7505537102617537,0.48415365727612486,0.003836384211531004,13
"MONOGRAPH WEALTH ADVISORS, LLC",0001776588,0001776588-26-000002,31-MAR-2026,1053502621,135,0.9988408648891756,0.9953058503116908,0.16556815751361673,0.11910074052014441,0.8426081673060213,0.7606325158043582,0.0019837923557983602,12
"BFSG, LLC",0001706836,0001706836-26-000002,31-MAR-2026,1003389125,682,0.9516827905015224,0.9798809559551485,0.1426875563509949,0.10193888914971394,0.6948977144161279,0.2098886686186313,0.008187862575264871,13
"Financial Synergies Wealth Advisors, Inc.",0002017868,0002017868-26-000005,31-MAR-2026,1045309588,108,0.9976991024851638,0.989569013692047,0.17194030730104412,0.12229615481775213,0.8799644880586551,0.8677466547303629,0.008297230664303065,10
AZZAD ASSET MANAGEMENT INC /ADV,0001121914,0001121914-26-000004,31-MAR-2026,919483335,305,0.929694426410624,0.9846128260715025,0.19635334770093163,0.1317285902223857,1.010666304770349,0.16700982199461792,0.0059702237210877565,13
"Scarborough Advisors, LLC",0001815355,0001815355-26-000005,31-MAR-2026,912744746,707,0.999085853347569,0.990155968534055,0.1374921432548208,0.09467090198695427,0.7094585570357816,0.8144548997311098,0.03085845307779826,13
"Apollon Financial, LLC",0002011195,0002011195-26-000002,31-MAR-2026,721455955,254,0.9977313867928209,0.9863681449548781,0.16523869569788271,0.10847323264844111,0.862493409241458,0.5145685173178822,0.019539668783210402,12
B & T Capital Management DBA Alpha Capital Management,0001450935,0001450935-26-000005,31-MAR-2026,685497322,107,0.9936289840599386,0.9709260541793918,0.1708168617590986,0.11133943547848513,0.8840561731971843,0.2780652004810842,0.0,12
WPWealth LLP,0001950118,0001950118-26-000002,31-MAR-2026,654247150,92,1.0,0.9916217839084206,0.11124612916949987,0.08483010690543158,0.5518940001754498,0.9424351050978906,0.0,9
"Tarbox Family Office, Inc.",0001599603,0001599603-26-000003,31-MAR-2026,615760554,91,1.0,0.9610073674839522,0.16626695271600783,0.11939303038638105,0.8467306063094797,0.7639518894713759,0.03940664485770909,13
Waterfront Wealth Inc.,0001775210,0001775210-26-000004,31-MAR-2026,527688060,267,0.9688783041154801,0.9567375809109647,0.1764492682724537,0.12815905763599755,0.8944622395964423,0.2337336312926094,0.013079356862329312,13
"WestHill Financial Advisors, Inc.",0001759641,0002085853-26-000325,31-MAR-2026,522159068,73,0.9984851952840873,0.9973081153117118,0.1460730357559563,0.10324242319296961,0.7542125387823232,0.819013304007903,0.02935345360997648,11
Mason & Associates Inc,0001917686,0001917686-26-000002,31-MAR-2026,512263281,151,0.9946760994998036,0.9823281575397554,0.1689499220578228,0.1079341196168544,0.8707144755968295,0.6499890660718693,0.0014117010581125528,13
ROWLANDMILLER & PARTNERS.ADV,0000225816,0000225816-26-000002,31-MAR-2026,477398026,177,0.9678097797570464,0.9647268587574763,0.15721942361507887,0.11744756247584476,0.7722397036626744,0.1312697183738025,0.0,12
"Scott Capital Advisors, LLC",0001905673,0001905673-26-000002,31-MAR-2026,493187335,57,1.0,0.9970802048272387,0.12977165393121576,0.09391315309825288,0.6707994360271999,0.9370582845750641,0.0,8
